indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2012-04-01,CABA,Para Hoteles,11361527,""
2012-04-01,Cuyo,1 y 2 estrellas,6747686,""
2012-04-01,Cuyo,3 estrellas/boutiques/aparts,19747529,""
2012-04-01,Cuyo,4 y 5 estrellas,54181515,""
2012-04-01,Cuyo,Para Hoteles,4133208,""
2012-04-01,Córdoba,1 y 2 estrellas,17341317,""
2012-04-01,Córdoba,3 estrellas/boutiques/aparts,20049899,""
2012-04-01,Córdoba,4 y 5 estrellas,12994123,""
2012-04-01,Córdoba,Para Hoteles,15972518,""
2012-04-01,Litoral,1 y 2 estrellas,6769364,""
2012-04-01,Litoral,3 estrellas/boutiques/aparts,24059156,""
2012-04-01,Litoral,4 y 5 estrellas,55058526,""
2012-04-01,Litoral,Para Hoteles,13337253,""
2012-04-01,Norte,1 y 2 estrellas,6221734,""
2012-04-01,Norte,3 estrellas/boutiques/aparts,19277456,""
2012-04-01,Norte,4 y 5 estrellas,31985277,""
2012-04-01,Norte,Para Hoteles,8036898,""
2012-04-01,Patagonia,1 y 2 estrellas,9354434,""
2012-04-01,Patagonia,3 estrellas/boutiques/aparts,27916575,""
2012-04-01,Patagonia,4 y 5 estrellas,38068119,""
2012-04-01,Patagonia,Para Hoteles,15874744,""
2012-05-01,Buenos Aires,1 y 2 estrellas,4640953,""
2012-05-01,Buenos Aires,3 estrellas/boutiques/aparts,11662281,""
2012-05-01,Buenos Aires,4 y 5 estrellas,12157860,""
2012-05-01,Buenos Aires,Para Hoteles,13396220,""
2012-05-01,CABA,1 y 2 estrellas,11792501,""
2012-05-01,CABA,3 estrellas/boutiques/aparts,54399170,""
2012-05-01,CABA,4 y 5 estrellas,190241655,""
2012-05-01,CABA,Para Hoteles,10126823,""
2012-05-01,Cuyo,1 y 2 estrellas,6125798,""
2012-05-01,Cuyo,3 estrellas/boutiques/aparts,16944695,""
2012-05-01,Cuyo,4 y 5 estrellas,42953356,""
2012-05-01,Cuyo,Para Hoteles,3069681,""
2012-05-01,Córdoba,1 y 2 estrellas,12668226,""
2012-05-01,Córdoba,3 estrellas/boutiques/aparts,16290512,""
2012-05-01,Córdoba,4 y 5 estrellas,12499686,""
2012-05-01,Córdoba,Para Hoteles,6369732,""
2012-05-01,Litoral,1 y 2 estrellas,5564959,""
2012-05-01,Litoral,3 estrellas/boutiques/aparts,22458148,""
2012-05-01,Litoral,4 y 5 estrellas,45799019,""
2012-05-01,Litoral,Para Hoteles,9461927,""
2012-05-01,Norte,1 y 2 estrellas,5360550,""
2012-05-01,Norte,3 estrellas/boutiques/aparts,17392056,""
2012-05-01,Norte,4 y 5 estrellas,30417480,""
2012-05-01,Norte,Para Hoteles,6621422,""
2012-05-01,Patagonia,1 y 2 estrellas,9162011,""
2012-05-01,Patagonia,3 estrellas/boutiques/aparts,19427418,""
2012-05-01,Patagonia,4 y 5 estrellas,22531368,""
2012-05-01,Patagonia,Para Hoteles,8065136,""
2012-06-01,Buenos Aires,1 y 2 estrellas,4340685,""
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,9184492,""
2012-06-01,Buenos Aires,4 y 5 estrellas,9313557,""
2012-06-01,Buenos Aires,Para Hoteles,8600561,""
2012-06-01,CABA,1 y 2 estrellas,12739258,""
2012-06-01,CABA,3 estrellas/boutiques/aparts,53793321,""
2012-06-01,CABA,4 y 5 estrellas,176819999,""
2012-06-01,CABA,Para Hoteles,9907924,""
2012-06-01,Cuyo,1 y 2 estrellas,5341989,""
2012-06-01,Cuyo,3 estrellas/boutiques/aparts,16097275,""
2012-06-01,Cuyo,4 y 5 estrellas,52128237,""
2012-06-01,Cuyo,Para Hoteles,2695428,""
2012-06-01,Córdoba,1 y 2 estrellas,6501890,""
2012-06-01,Córdoba,3 estrellas/boutiques/aparts,12293930,""
2012-06-01,Córdoba,4 y 5 estrellas,10817813,""
2012-06-01,Córdoba,Para Hoteles,3451729,""
2012-06-01,Litoral,1 y 2 estrellas,5601209,""
2012-06-01,Litoral,3 estrellas/boutiques/aparts,23330579,""
2012-06-01,Litoral,4 y 5 estrellas,45091916,""
2012-06-01,Litoral,Para Hoteles,7401247,""
2012-06-01,Norte,1 y 2 estrellas,6890027,""
2012-06-01,Norte,3 estrellas/boutiques/aparts,17502532,""
2012-06-01,Norte,4 y 5 estrellas,29794914,""
2012-06-01,Norte,Para Hoteles,5298150,""
2012-06-01,Patagonia,1 y 2 estrellas,9012324,""
2012-06-01,Patagonia,3 estrellas/boutiques/aparts,22664979,""
2012-06-01,Patagonia,4 y 5 estrellas,28752200,""
2012-06-01,Patagonia,Para Hoteles,7093935,""
2012-07-01,Buenos Aires,1 y 2 estrellas,6009552,""
2012-07-01,Buenos Aires,3 estrellas/boutiques/aparts,22075002,""
2012-07-01,Buenos Aires,4 y 5 estrellas,17885465,""
2012-07-01,Buenos Aires,Para Hoteles,17151099,""
2012-07-01,CABA,1 y 2 estrellas,16641143,""
2012-07-01,CABA,3 estrellas/boutiques/aparts,68900725,""
2012-07-01,CABA,4 y 5 estrellas,181325292,""
2012-07-01,CABA,Para Hoteles,12393655,""
2012-07-01,Cuyo,1 y 2 estrellas,8904213,""
2012-07-01,Cuyo,3 estrellas/boutiques/aparts,24982208,""
2012-07-01,Cuyo,4 y 5 estrellas,96118436,""
2012-07-01,Cuyo,Para Hoteles,5782519,""
2012-07-01,Córdoba,1 y 2 estrellas,11292965,""
2012-07-01,Córdoba,3 estrellas/boutiques/aparts,21588656,""
2012-07-01,Córdoba,4 y 5 estrellas,17934303,""
2012-07-01,Córdoba,Para Hoteles,18136153,""
2012-07-01,Litoral,1 y 2 estrellas,6884099,""
2012-07-01,Litoral,3 estrellas/boutiques/aparts,29621344,""
2012-07-01,Litoral,4 y 5 estrellas,62411124,""
2012-07-01,Litoral,Para Hoteles,12040326,""
2012-07-01,Norte,1 y 2 estrellas,15485879,""
2012-07-01,Norte,3 estrellas/boutiques/aparts,36808605,""
2012-07-01,Norte,4 y 5 estrellas,48183724,""
2012-07-01,Norte,Para Hoteles,12888381,""
2012-07-01,Patagonia,1 y 2 estrellas,22787354,""
2012-07-01,Patagonia,3 estrellas/boutiques/aparts,50650801,""
2012-07-01,Patagonia,4 y 5 estrellas,83541106,""
2012-07-01,Patagonia,Para Hoteles,27176354,""
2012-08-01,Buenos Aires,1 y 2 estrellas,4583938,""
2012-08-01,Buenos Aires,3 estrellas/boutiques/aparts,14662695,""
2012-08-01,Buenos Aires,4 y 5 estrellas,15754807,""
2012-08-01,Buenos Aires,Para Hoteles,12861275,""
2012-08-01,CABA,1 y 2 estrellas,15294238,""
2012-08-01,CABA,3 estrellas/boutiques/aparts,60573324,""
2012-08-01,CABA,4 y 5 estrellas,185875125,""
2012-08-01,CABA,Para Hoteles,10198535,""
2012-08-01,Cuyo,1 y 2 estrellas,6796944,""
2012-08-01,Cuyo,3 estrellas/boutiques/aparts,21569701,""
2012-08-01,Cuyo,4 y 5 estrellas,68863634,""
2012-08-01,Cuyo,Para Hoteles,3824763,""
2012-08-01,Córdoba,1 y 2 estrellas,7682979,""
2012-08-01,Córdoba,3 estrellas/boutiques/aparts,16521950,""
2012-08-01,Córdoba,4 y 5 estrellas,13413824,""
2012-08-01,Córdoba,Para Hoteles,7344979,""
2012-08-01,Litoral,1 y 2 estrellas,7285202,""
2012-08-01,Litoral,3 estrellas/boutiques/aparts,27409046,""
