indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2015-11-01,Patagonia,Para Hoteles,48923268,""
2015-12-01,Buenos Aires,1 y 2 estrellas,15216911,""
2015-12-01,Buenos Aires,3 estrellas/boutiques/aparts,73927221,""
2015-12-01,Buenos Aires,4 y 5 estrellas,89437893,""
2015-12-01,Buenos Aires,Para Hoteles,56519273,""
2015-12-01,CABA,1 y 2 estrellas,21102785,""
2015-12-01,CABA,3 estrellas/boutiques/aparts,118651610,""
2015-12-01,CABA,4 y 5 estrellas,455942878,""
2015-12-01,CABA,Para Hoteles,25881457,""
2015-12-01,Cuyo,1 y 2 estrellas,9703758,""
2015-12-01,Cuyo,3 estrellas/boutiques/aparts,39474628,""
2015-12-01,Cuyo,4 y 5 estrellas,84484119,""
2015-12-01,Cuyo,Para Hoteles,6568117,""
2015-12-01,Córdoba,1 y 2 estrellas,21754097,""
2015-12-01,Córdoba,3 estrellas/boutiques/aparts,31623418,""
2015-12-01,Córdoba,4 y 5 estrellas,26975708,""
2015-12-01,Córdoba,Para Hoteles,52836607,""
2015-12-01,Litoral,1 y 2 estrellas,15342606,""
2015-12-01,Litoral,3 estrellas/boutiques/aparts,35936014,""
2015-12-01,Litoral,4 y 5 estrellas,125249038,""
2015-12-01,Litoral,Para Hoteles,20413470,""
2015-12-01,Norte,1 y 2 estrellas,6803702,""
2015-12-01,Norte,3 estrellas/boutiques/aparts,33423496,""
2015-12-01,Norte,4 y 5 estrellas,56283598,""
2015-12-01,Norte,Para Hoteles,10765040,""
2015-12-01,Patagonia,1 y 2 estrellas,39206069,""
2015-12-01,Patagonia,3 estrellas/boutiques/aparts,114874882,""
2015-12-01,Patagonia,4 y 5 estrellas,194697900,""
2015-12-01,Patagonia,Para Hoteles,63671668,""
2016-01-01,Buenos Aires,1 y 2 estrellas,107863836,""
2016-01-01,Buenos Aires,3 estrellas/boutiques/aparts,222812721,""
2016-01-01,Buenos Aires,4 y 5 estrellas,195254874,""
2016-01-01,Buenos Aires,Para Hoteles,190413122,""
2016-01-01,CABA,1 y 2 estrellas,20154492,""
2016-01-01,CABA,3 estrellas/boutiques/aparts,112917777,""
2016-01-01,CABA,4 y 5 estrellas,399505881,""
2016-01-01,CABA,Para Hoteles,34744140,""
2016-01-01,Cuyo,1 y 2 estrellas,20245791,""
2016-01-01,Cuyo,3 estrellas/boutiques/aparts,59640963,""
2016-01-01,Cuyo,4 y 5 estrellas,115273993,""
2016-01-01,Cuyo,Para Hoteles,20691678,""
2016-01-01,Córdoba,1 y 2 estrellas,80410484,""
2016-01-01,Córdoba,3 estrellas/boutiques/aparts,63450952,""
2016-01-01,Córdoba,4 y 5 estrellas,35634246,""
2016-01-01,Córdoba,Para Hoteles,170893670,""
2016-01-01,Litoral,1 y 2 estrellas,17370798,""
2016-01-01,Litoral,3 estrellas/boutiques/aparts,61496434,""
2016-01-01,Litoral,4 y 5 estrellas,126554989,""
2016-01-01,Litoral,Para Hoteles,40312450,""
2016-01-01,Norte,1 y 2 estrellas,16055685,""
2016-01-01,Norte,3 estrellas/boutiques/aparts,65153092,""
2016-01-01,Norte,4 y 5 estrellas,62089806,""
2016-01-01,Norte,Para Hoteles,32352153,""
2016-01-01,Patagonia,1 y 2 estrellas,81934872,""
2016-01-01,Patagonia,3 estrellas/boutiques/aparts,205679664,""
2016-01-01,Patagonia,4 y 5 estrellas,317176036,""
2016-01-01,Patagonia,Para Hoteles,165722558,""
2016-02-01,Buenos Aires,1 y 2 estrellas,79936030,""
2016-02-01,Buenos Aires,3 estrellas/boutiques/aparts,166744831,""
2016-02-01,Buenos Aires,4 y 5 estrellas,135309826,""
2016-02-01,Buenos Aires,Para Hoteles,148048730,""
2016-02-01,CABA,1 y 2 estrellas,18764004,""
2016-02-01,CABA,3 estrellas/boutiques/aparts,117889882,""
2016-02-01,CABA,4 y 5 estrellas,476416285,""
2016-02-01,CABA,Para Hoteles,35818800,""
2016-02-01,Cuyo,1 y 2 estrellas,15538815,""
2016-02-01,Cuyo,3 estrellas/boutiques/aparts,60747033,""
2016-02-01,Cuyo,4 y 5 estrellas,135220562,""
2016-02-01,Cuyo,Para Hoteles,17201050,""
2016-02-01,Córdoba,1 y 2 estrellas,59786918,""
2016-02-01,Córdoba,3 estrellas/boutiques/aparts,53350279,""
2016-02-01,Córdoba,4 y 5 estrellas,31286088,""
2016-02-01,Córdoba,Para Hoteles,122604754,""
2016-02-01,Litoral,1 y 2 estrellas,17641057,""
2016-02-01,Litoral,3 estrellas/boutiques/aparts,58028236,""
2016-02-01,Litoral,4 y 5 estrellas,118835718,""
2016-02-01,Litoral,Para Hoteles,41573268,""
2016-02-01,Norte,1 y 2 estrellas,13614066,""
2016-02-01,Norte,3 estrellas/boutiques/aparts,55578588,""
2016-02-01,Norte,4 y 5 estrellas,58972007,""
2016-02-01,Norte,Para Hoteles,24201420,""
2016-02-01,Patagonia,1 y 2 estrellas,73872395,""
2016-02-01,Patagonia,3 estrellas/boutiques/aparts,175506314,""
2016-02-01,Patagonia,4 y 5 estrellas,276630418,""
2016-02-01,Patagonia,Para Hoteles,139677248,""
2016-03-01,Buenos Aires,1 y 2 estrellas,25954868,""
2016-03-01,Buenos Aires,3 estrellas/boutiques/aparts,84548977,""
2016-03-01,Buenos Aires,4 y 5 estrellas,83714866,""
2016-03-01,Buenos Aires,Para Hoteles,62556040,""
2016-03-01,CABA,1 y 2 estrellas,25996014,""
2016-03-01,CABA,3 estrellas/boutiques/aparts,146021200,""
2016-03-01,CABA,4 y 5 estrellas,573472689,""
2016-03-01,CABA,Para Hoteles,27049443,""
2016-03-01,Cuyo,1 y 2 estrellas,15251859,""
2016-03-01,Cuyo,3 estrellas/boutiques/aparts,46014065,""
2016-03-01,Cuyo,4 y 5 estrellas,124617257,""
2016-03-01,Cuyo,Para Hoteles,11135944,""
2016-03-01,Córdoba,1 y 2 estrellas,31706598,""
2016-03-01,Córdoba,3 estrellas/boutiques/aparts,35611422,""
2016-03-01,Córdoba,4 y 5 estrellas,27361149,""
2016-03-01,Córdoba,Para Hoteles,61620589,""
2016-03-01,Litoral,1 y 2 estrellas,15486698,""
2016-03-01,Litoral,3 estrellas/boutiques/aparts,56258567,""
2016-03-01,Litoral,4 y 5 estrellas,122654353,""
2016-03-01,Litoral,Para Hoteles,25566631,""
2016-03-01,Norte,1 y 2 estrellas,13970234,""
2016-03-01,Norte,3 estrellas/boutiques/aparts,61532600,""
2016-03-01,Norte,4 y 5 estrellas,77516266,""
2016-03-01,Norte,Para Hoteles,16689236,""
2016-03-01,Patagonia,1 y 2 estrellas,54682836,""
2016-03-01,Patagonia,3 estrellas/boutiques/aparts,144276577,""
2016-03-01,Patagonia,4 y 5 estrellas,227624958,""
2016-03-01,Patagonia,Para Hoteles,71126315,""
2016-04-01,Buenos Aires,1 y 2 estrellas,7885059,""
2016-04-01,Buenos Aires,3 estrellas/boutiques/aparts,34207610,""
2016-04-01,Buenos Aires,4 y 5 estrellas,56703766,""
2016-04-01,Buenos Aires,Para Hoteles,21501288,""
2016-04-01,CABA,1 y 2 estrellas,25352891,""
2016-04-01,CABA,3 estrellas/boutiques/aparts,147009653,""
2016-04-01,CABA,4 y 5 estrellas,559799495,""
2016-04-01,CABA,Para Hoteles,25474752,""
2016-04-01,Cuyo,1 y 2 estrellas,10630019,""
2016-04-01,Cuyo,3 estrellas/boutiques/aparts,40603270,""
2016-04-01,Cuyo,4 y 5 estrellas,120127505,""
2016-04-01,Cuyo,Para Hoteles,7006571,""
2016-04-01,Córdoba,1 y 2 estrellas,18157560,""
2016-04-01,Córdoba,3 estrellas/boutiques/aparts,23018338,""
2016-04-01,Córdoba,4 y 5 estrellas,28150553,""
2016-04-01,Córdoba,Para Hoteles,23706898,""
2016-04-01,Litoral,1 y 2 estrellas,12620218,""
2016-04-01,Litoral,3 estrellas/boutiques/aparts,56237387,""
2016-04-01,Litoral,4 y 5 estrellas,104951487,""
2016-04-01,Litoral,Para Hoteles,15545818,""
2016-04-01,Norte,1 y 2 estrellas,15845237,""
2016-04-01,Norte,3 estrellas/boutiques/aparts,58935851,""
2016-04-01,Norte,4 y 5 estrellas,90480916,""
2016-04-01,Norte,Para Hoteles,13123596,""
2016-04-01,Patagonia,1 y 2 estrellas,30541916,""
2016-04-01,Patagonia,3 estrellas/boutiques/aparts,106068714,""
2016-04-01,Patagonia,4 y 5 estrellas,127820035,""
2016-04-01,Patagonia,Para Hoteles,35388257,""
2016-05-01,Buenos Aires,1 y 2 estrellas,5120762,""
2016-05-01,Buenos Aires,3 estrellas/boutiques/aparts,23495049,""
2016-05-01,Buenos Aires,4 y 5 estrellas,40394912,""
2016-05-01,Buenos Aires,Para Hoteles,10383428,""
2016-05-01,CABA,1 y 2 estrellas,26074938,""
2016-05-01,CABA,3 estrellas/boutiques/aparts,132937135,""
2016-05-01,CABA,4 y 5 estrellas,466883208,""
2016-05-01,CABA,Para Hoteles,24459895,""
2016-05-01,Cuyo,1 y 2 estrellas,10800080,""
2016-05-01,Cuyo,3 estrellas/boutiques/aparts,36633197,""
2016-05-01,Cuyo,4 y 5 estrellas,113465022,""
2016-05-01,Cuyo,Para Hoteles,5653485,""
2016-05-01,Córdoba,1 y 2 estrellas,16436459,""
2016-05-01,Córdoba,3 estrellas/boutiques/aparts,22420174,""
2016-05-01,Córdoba,4 y 5 estrellas,28040963,""
2016-05-01,Córdoba,Para Hoteles,15924668,""
2016-05-01,Litoral,1 y 2 estrellas,13087616,""
2016-05-01,Litoral,3 estrellas/boutiques/aparts,53032575,""
2016-05-01,Litoral,4 y 5 estrellas,96677017,""
2016-05-01,Litoral,Para Hoteles,18071763,""
2016-05-01,Norte,1 y 2 estrellas,17624574,""
2016-05-01,Norte,3 estrellas/boutiques/aparts,58016226,""
2016-05-01,Norte,4 y 5 estrellas,81619714,""
2016-05-01,Norte,Para Hoteles,10448911,""
2016-05-01,Patagonia,1 y 2 estrellas,28100591,""
2016-05-01,Patagonia,3 estrellas/boutiques/aparts,83075799,""
2016-05-01,Patagonia,4 y 5 estrellas,108254179,""
2016-05-01,Patagonia,Para Hoteles,18889725,""
2016-06-01,Buenos Aires,1 y 2 estrellas,5581728,""
2016-06-01,Buenos Aires,3 estrellas/boutiques/aparts,27403247,""
2016-06-01,Buenos Aires,4 y 5 estrellas,38065700,""
2016-06-01,Buenos Aires,Para Hoteles,12065772,""
2016-06-01,CABA,1 y 2 estrellas,24416205,""
2016-06-01,CABA,3 estrellas/boutiques/aparts,134169151,""
2016-06-01,CABA,4 y 5 estrellas,460047255,""
2016-06-01,CABA,Para Hoteles,25882799,""
2016-06-01,Cuyo,1 y 2 estrellas,9490022,""
2016-06-01,Cuyo,3 estrellas/boutiques/aparts,36367494,""
2016-06-01,Cuyo,4 y 5 estrellas,120049918,""
2016-06-01,Cuyo,Para Hoteles,6437868,""
2016-06-01,Córdoba,1 y 2 estrellas,16192040,""
2016-06-01,Córdoba,3 estrellas/boutiques/aparts,23642714,""
2016-06-01,Córdoba,4 y 5 estrellas,25092173,""
2016-06-01,Córdoba,Para Hoteles,20207309,""
2016-06-01,Litoral,1 y 2 estrellas,15407991,""
2016-06-01,Litoral,3 estrellas/boutiques/aparts,59859463,""
2016-06-01,Litoral,4 y 5 estrellas,108163688,""
2016-06-01,Litoral,Para Hoteles,19747151,""
2016-06-01,Norte,1 y 2 estrellas,23671010,""
2016-06-01,Norte,3 estrellas/boutiques/aparts,69932621,""
2016-06-01,Norte,4 y 5 estrellas,99362482,""
2016-06-01,Norte,Para Hoteles,12929964,""
2016-06-01,Patagonia,1 y 2 estrellas,27447320,""
2016-06-01,Patagonia,3 estrellas/boutiques/aparts,61928390,""
2016-06-01,Patagonia,4 y 5 estrellas,100190798,""
2016-06-01,Patagonia,Para Hoteles,24984685,""
2016-07-01,Buenos Aires,1 y 2 estrellas,9015270,""
2016-07-01,Buenos Aires,3 estrellas/boutiques/aparts,56658155,""
2016-07-01,Buenos Aires,4 y 5 estrellas,57656801,""
2016-07-01,Buenos Aires,Para Hoteles,22756230,""
2016-07-01,CABA,1 y 2 estrellas,32550381,""
2016-07-01,CABA,3 estrellas/boutiques/aparts,173783862,""
2016-07-01,CABA,4 y 5 estrellas,486800918,""
2016-07-01,CABA,Para Hoteles,32012378,""
2016-07-01,Cuyo,1 y 2 estrellas,34435632,""
2016-07-01,Cuyo,3 estrellas/boutiques/aparts,65143852,""
2016-07-01,Cuyo,4 y 5 estrellas,218527711,""
2016-07-01,Cuyo,Para Hoteles,22078624,""
2016-07-01,Córdoba,1 y 2 estrellas,32685507,""
2016-07-01,Córdoba,3 estrellas/boutiques/aparts,44599925,""
2016-07-01,Córdoba,4 y 5 estrellas,43357549,""
2016-07-01,Córdoba,Para Hoteles,78271057,""
2016-07-01,Litoral,1 y 2 estrellas,19260062,""
2016-07-01,Litoral,3 estrellas/boutiques/aparts,71417166,""
2016-07-01,Litoral,4 y 5 estrellas,156666002,""
2016-07-01,Litoral,Para Hoteles,30210244,""
2016-07-01,Norte,1 y 2 estrellas,40332400,""
2016-07-01,Norte,3 estrellas/boutiques/aparts,127524256,""
2016-07-01,Norte,4 y 5 estrellas,152913654,""
2016-07-01,Norte,Para Hoteles,35691467,""
2016-07-01,Patagonia,1 y 2 estrellas,66139991,""
2016-07-01,Patagonia,3 estrellas/boutiques/aparts,150687275,""
2016-07-01,Patagonia,4 y 5 estrellas,252716815,""
2016-07-01,Patagonia,Para Hoteles,97056038,""
2016-08-01,Buenos Aires,1 y 2 estrellas,6828278,""
2016-08-01,Buenos Aires,3 estrellas/boutiques/aparts,33797417,""
2016-08-01,Buenos Aires,4 y 5 estrellas,53487380,""
2016-08-01,Buenos Aires,Para Hoteles,15162346,""
2016-08-01,CABA,1 y 2 estrellas,31476941,""
2016-08-01,CABA,3 estrellas/boutiques/aparts,151319051,""
2016-08-01,CABA,4 y 5 estrellas,537524849,""
2016-08-01,CABA,Para Hoteles,28562176,""
2016-08-01,Cuyo,1 y 2 estrellas,18053401,""
2016-08-01,Cuyo,3 estrellas/boutiques/aparts,49837516,""
2016-08-01,Cuyo,4 y 5 estrellas,138879884,""
2016-08-01,Cuyo,Para Hoteles,11633390,""
2016-08-01,Córdoba,1 y 2 estrellas,18157447,""
2016-08-01,Córdoba,3 estrellas/boutiques/aparts,26672436,""
2016-08-01,Córdoba,4 y 5 estrellas,35258793,""
2016-08-01,Córdoba,Para Hoteles,22098974,""
2016-08-01,Litoral,1 y 2 estrellas,17608657,""
2016-08-01,Litoral,3 estrellas/boutiques/aparts,69405858,""
2016-08-01,Litoral,4 y 5 estrellas,135387215,""
2016-08-01,Litoral,Para Hoteles,26090303,""
2016-08-01,Norte,1 y 2 estrellas,35117381,""
2016-08-01,Norte,3 estrellas/boutiques/aparts,107930314,""
2016-08-01,Norte,4 y 5 estrellas,132084492,""
2016-08-01,Norte,Para Hoteles,20011109,""
2016-08-01,Patagonia,1 y 2 estrellas,69281214,""
2016-08-01,Patagonia,3 estrellas/boutiques/aparts,134656102,""
2016-08-01,Patagonia,4 y 5 estrellas,230102019,""
2016-08-01,Patagonia,Para Hoteles,76111514,""
2016-09-01,Buenos Aires,1 y 2 estrellas,7124203,""
2016-09-01,Buenos Aires,3 estrellas/boutiques/aparts,36264760,""
2016-09-01,Buenos Aires,4 y 5 estrellas,50651232,""
2016-09-01,Buenos Aires,Para Hoteles,19216688,""
2016-09-01,CABA,1 y 2 estrellas,30857903,""
2016-09-01,CABA,3 estrellas/boutiques/aparts,155974842,""
2016-09-01,CABA,4 y 5 estrellas,549789386,""
2016-09-01,CABA,Para Hoteles,27584839,""
2016-09-01,Cuyo,1 y 2 estrellas,13514105,""
2016-09-01,Cuyo,3 estrellas/boutiques/aparts,50283226,""
2016-09-01,Cuyo,4 y 5 estrellas,148125618,""
2016-09-01,Cuyo,Para Hoteles,11457079,""
2016-09-01,Córdoba,1 y 2 estrellas,21309374,""
2016-09-01,Córdoba,3 estrellas/boutiques/aparts,30739351,""
2016-09-01,Córdoba,4 y 5 estrellas,33324613,""
2016-09-01,Córdoba,Para Hoteles,25425118,""
2016-09-01,Litoral,1 y 2 estrellas,17233638,""
2016-09-01,Litoral,3 estrellas/boutiques/aparts,76795777,""
2016-09-01,Litoral,4 y 5 estrellas,142515797,""
2016-09-01,Litoral,Para Hoteles,26111286,""
2016-09-01,Norte,1 y 2 estrellas,20962160,""
2016-09-01,Norte,3 estrellas/boutiques/aparts,107219518,""
2016-09-01,Norte,4 y 5 estrellas,128946756,""
2016-09-01,Norte,Para Hoteles,18375426,""
2016-09-01,Patagonia,1 y 2 estrellas,98580677,""
2016-09-01,Patagonia,3 estrellas/boutiques/aparts,165560600,""
2016-09-01,Patagonia,4 y 5 estrellas,259027725,""
2016-09-01,Patagonia,Para Hoteles,62395106,""
2016-10-01,Buenos Aires,1 y 2 estrellas,13951434,""
2016-10-01,Buenos Aires,3 estrellas/boutiques/aparts,65505477,""
2016-10-01,Buenos Aires,4 y 5 estrellas,78317824,""
2016-10-01,Buenos Aires,Para Hoteles,31355237,""
2016-10-01,CABA,1 y 2 estrellas,34132472,""
2016-10-01,CABA,3 estrellas/boutiques/aparts,181844864,""
2016-10-01,CABA,4 y 5 estrellas,661598851,""
2016-10-01,CABA,Para Hoteles,30872117,""
2016-10-01,Cuyo,1 y 2 estrellas,17936576,""
2016-10-01,Cuyo,3 estrellas/boutiques/aparts,51034800,""
2016-10-01,Cuyo,4 y 5 estrellas,147938979,""
2016-10-01,Cuyo,Para Hoteles,16056560,""
2016-10-01,Córdoba,1 y 2 estrellas,28506532,""
2016-10-01,Córdoba,3 estrellas/boutiques/aparts,39556500,""
2016-10-01,Córdoba,4 y 5 estrellas,37463181,""
2016-10-01,Córdoba,Para Hoteles,59800014,""
2016-10-01,Litoral,1 y 2 estrellas,17653913,""
2016-10-01,Litoral,3 estrellas/boutiques/aparts,80938423,""
2016-10-01,Litoral,4 y 5 estrellas,174703731,""
2016-10-01,Litoral,Para Hoteles,32828278,""
2016-10-01,Norte,1 y 2 estrellas,20233533,""
2016-10-01,Norte,3 estrellas/boutiques/aparts,88511121,""
2016-10-01,Norte,4 y 5 estrellas,130217876,""
2016-10-01,Norte,Para Hoteles,18671800,""
2016-10-01,Patagonia,1 y 2 estrellas,91831290,""
2016-10-01,Patagonia,3 estrellas/boutiques/aparts,176877371,""
2016-10-01,Patagonia,4 y 5 estrellas,247669466,""
2016-10-01,Patagonia,Para Hoteles,67745285,""
2016-11-01,Buenos Aires,1 y 2 estrellas,14293081,""
2016-11-01,Buenos Aires,3 estrellas/boutiques/aparts,61890054,""
2016-11-01,Buenos Aires,4 y 5 estrellas,73965855,""
2016-11-01,Buenos Aires,Para Hoteles,37675307,""
2016-11-01,CABA,1 y 2 estrellas,32300053,""
2016-11-01,CABA,3 estrellas/boutiques/aparts,203678398,""
2016-11-01,CABA,4 y 5 estrellas,735618394,""
2016-11-01,CABA,Para Hoteles,30084446,""
2016-11-01,Cuyo,1 y 2 estrellas,15175376,""
2016-11-01,Cuyo,3 estrellas/boutiques/aparts,47625632,""
2016-11-01,Cuyo,4 y 5 estrellas,146292215,""
2016-11-01,Cuyo,Para Hoteles,13190207,""
2016-11-01,Córdoba,1 y 2 estrellas,30599341,""
2016-11-01,Córdoba,3 estrellas/boutiques/aparts,41739934,""
2016-11-01,Córdoba,4 y 5 estrellas,41398442,""
2016-11-01,Córdoba,Para Hoteles,38134695,""
2016-11-01,Litoral,1 y 2 estrellas,20181752,""
2016-11-01,Litoral,3 estrellas/boutiques/aparts,74380119,""
2016-11-01,Litoral,4 y 5 estrellas,163490584,""
2016-11-01,Litoral,Para Hoteles,31939968,""
2016-11-01,Norte,1 y 2 estrellas,14256712,""
2016-11-01,Norte,3 estrellas/boutiques/aparts,69362523,""
2016-11-01,Norte,4 y 5 estrellas,109770925,""
2016-11-01,Norte,Para Hoteles,15679987,""
2016-11-01,Patagonia,1 y 2 estrellas,60118660,""
2016-11-01,Patagonia,3 estrellas/boutiques/aparts,181418160,""
2016-11-01,Patagonia,4 y 5 estrellas,271552119,""
2016-11-01,Patagonia,Para Hoteles,84054415,""
2016-12-01,Buenos Aires,1 y 2 estrellas,27137858,""
2016-12-01,Buenos Aires,3 estrellas/boutiques/aparts,91535397,""
2016-12-01,Buenos Aires,4 y 5 estrellas,108925935,""
2016-12-01,Buenos Aires,Para Hoteles,66311592,""
2016-12-01,CABA,1 y 2 estrellas,27272301,""
2016-12-01,CABA,3 estrellas/boutiques/aparts,162114356,""
2016-12-01,CABA,4 y 5 estrellas,615582215,""
2016-12-01,CABA,Para Hoteles,27670101,""
2016-12-01,Cuyo,1 y 2 estrellas,9422269,""
2016-12-01,Cuyo,3 estrellas/boutiques/aparts,44355502,""
2016-12-01,Cuyo,4 y 5 estrellas,152348592,""
2016-12-01,Cuyo,Para Hoteles,13671789,""
2016-12-01,Córdoba,1 y 2 estrellas,33503519,""
2016-12-01,Córdoba,3 estrellas/boutiques/aparts,43603852,""
2016-12-01,Córdoba,4 y 5 estrellas,38160863,""
2016-12-01,Córdoba,Para Hoteles,56351750,""
2016-12-01,Litoral,1 y 2 estrellas,17298074,""
2016-12-01,Litoral,3 estrellas/boutiques/aparts,65770726,""
2016-12-01,Litoral,4 y 5 estrellas,165465559,""
2016-12-01,Litoral,Para Hoteles,27803940,""
2016-12-01,Norte,1 y 2 estrellas,14877894,""
2016-12-01,Norte,3 estrellas/boutiques/aparts,52135993,""
2016-12-01,Norte,4 y 5 estrellas,74458819,""
2016-12-01,Norte,Para Hoteles,13362452,""
2016-12-01,Patagonia,1 y 2 estrellas,85367851,""
2016-12-01,Patagonia,3 estrellas/boutiques/aparts,174450916,""
2016-12-01,Patagonia,4 y 5 estrellas,296858316,""
2016-12-01,Patagonia,Para Hoteles,94685619,""
2017-01-01,Buenos Aires,1 y 2 estrellas,135258802,""
2017-01-01,Buenos Aires,3 estrellas/boutiques/aparts,292869653,""
2017-01-01,Buenos Aires,4 y 5 estrellas,201438967,""
2017-01-01,Buenos Aires,Para Hoteles,212045540,""
2017-01-01,CABA,1 y 2 estrellas,29101366,""
2017-01-01,CABA,3 estrellas/boutiques/aparts,139166703,""
2017-01-01,CABA,4 y 5 estrellas,462183606,""
2017-01-01,CABA,Para Hoteles,25765298,""
2017-01-01,Cuyo,1 y 2 estrellas,24929534,""
2017-01-01,Cuyo,3 estrellas/boutiques/aparts,82713927,""
2017-01-01,Cuyo,4 y 5 estrellas,163043744,""
2017-01-01,Cuyo,Para Hoteles,35963621,""
2017-01-01,Córdoba,1 y 2 estrellas,100998465,""
2017-01-01,Córdoba,3 estrellas/boutiques/aparts,95255952,""
2017-01-01,Córdoba,4 y 5 estrellas,44997284,""
2017-01-01,Córdoba,Para Hoteles,207675395,""
2017-01-01,Litoral,1 y 2 estrellas,21309507,""
2017-01-01,Litoral,3 estrellas/boutiques/aparts,74102544,""
2017-01-01,Litoral,4 y 5 estrellas,241473884,""
2017-01-01,Litoral,Para Hoteles,71055334,""
2017-01-01,Norte,1 y 2 estrellas,20531504,""
2017-01-01,Norte,3 estrellas/boutiques/aparts,62016127,""
2017-01-01,Norte,4 y 5 estrellas,92223557,""
2017-01-01,Norte,Para Hoteles,32835461,""
2017-01-01,Patagonia,1 y 2 estrellas,114069044,""
2017-01-01,Patagonia,3 estrellas/boutiques/aparts,288548039,""
2017-01-01,Patagonia,4 y 5 estrellas,386095347,""
2017-01-01,Patagonia,Para Hoteles,214447467,""
2017-02-01,Buenos Aires,1 y 2 estrellas,106418537,""
2017-02-01,Buenos Aires,3 estrellas/boutiques/aparts,223489860,""
2017-02-01,Buenos Aires,4 y 5 estrellas,165123600,""
2017-02-01,Buenos Aires,Para Hoteles,175783707,""
2017-02-01,CABA,1 y 2 estrellas,27608756,""
2017-02-01,CABA,3 estrellas/boutiques/aparts,141739930,""
2017-02-01,CABA,4 y 5 estrellas,490359881,""
2017-02-01,CABA,Para Hoteles,24201387,""
2017-02-01,Cuyo,1 y 2 estrellas,20303301,""
2017-02-01,Cuyo,3 estrellas/boutiques/aparts,76049609,""
2017-02-01,Cuyo,4 y 5 estrellas,155497645,""
2017-02-01,Cuyo,Para Hoteles,24206496,""
2017-02-01,Córdoba,1 y 2 estrellas,90010034,""
2017-02-01,Córdoba,3 estrellas/boutiques/aparts,84179660,""
2017-02-01,Córdoba,4 y 5 estrellas,43253420,""
2017-02-01,Córdoba,Para Hoteles,166911482,""
2017-02-01,Litoral,1 y 2 estrellas,22046196,""
2017-02-01,Litoral,3 estrellas/boutiques/aparts,83209906,""
2017-02-01,Litoral,4 y 5 estrellas,274848430,""
2017-02-01,Litoral,Para Hoteles,59157156,""
2017-02-01,Norte,1 y 2 estrellas,17570719,""
2017-02-01,Norte,3 estrellas/boutiques/aparts,55408202,""
2017-02-01,Norte,4 y 5 estrellas,86459951,""
2017-02-01,Norte,Para Hoteles,35521376,""
2017-02-01,Patagonia,1 y 2 estrellas,106071804,""
2017-02-01,Patagonia,3 estrellas/boutiques/aparts,205792174,""
2017-02-01,Patagonia,4 y 5 estrellas,339124838,""
2017-02-01,Patagonia,Para Hoteles,182285117,""
2017-03-01,Buenos Aires,1 y 2 estrellas,22608739,""
2017-03-01,Buenos Aires,3 estrellas/boutiques/aparts,101972104,""
2017-03-01,Buenos Aires,4 y 5 estrellas,92484905,""
2017-03-01,Buenos Aires,Para Hoteles,63069743,""
2017-03-01,CABA,1 y 2 estrellas,32243912,""
2017-03-01,CABA,3 estrellas/boutiques/aparts,184531309,""
2017-03-01,CABA,4 y 5 estrellas,695745488,""
2017-03-01,CABA,Para Hoteles,26747911,""
2017-03-01,Cuyo,1 y 2 estrellas,15694613,""
2017-03-01,Cuyo,3 estrellas/boutiques/aparts,69193019,""
2017-03-01,Cuyo,4 y 5 estrellas,172723274,""
2017-03-01,Cuyo,Para Hoteles,11970669,""
2017-03-01,Córdoba,1 y 2 estrellas,43575959,""
2017-03-01,Córdoba,3 estrellas/boutiques/aparts,49690048,""
2017-03-01,Córdoba,4 y 5 estrellas,36843569,""
2017-03-01,Córdoba,Para Hoteles,73228184,""
2017-03-01,Litoral,1 y 2 estrellas,16975035,""
2017-03-01,Litoral,3 estrellas/boutiques/aparts,76763756,""
2017-03-01,Litoral,4 y 5 estrellas,277725081,""
2017-03-01,Litoral,Para Hoteles,37407627,""
2017-03-01,Norte,1 y 2 estrellas,15130768,""
2017-03-01,Norte,3 estrellas/boutiques/aparts,52769310,""
2017-03-01,Norte,4 y 5 estrellas,92340420,""
2017-03-01,Norte,Para Hoteles,22155869,""
2017-03-01,Patagonia,1 y 2 estrellas,73492149,""
2017-03-01,Patagonia,3 estrellas/boutiques/aparts,293598024,""
2017-03-01,Patagonia,4 y 5 estrellas,256520149,""
2017-03-01,Patagonia,Para Hoteles,100814754,""
2017-04-01,Buenos Aires,1 y 2 estrellas,11034457,""
2017-04-01,Buenos Aires,3 estrellas/boutiques/aparts,68285937,""
2017-04-01,Buenos Aires,4 y 5 estrellas,79112063,""
2017-04-01,Buenos Aires,Para Hoteles,37337053,""
2017-04-01,CABA,1 y 2 estrellas,34063212,""
2017-04-01,CABA,3 estrellas/boutiques/aparts,188078509,""
2017-04-01,CABA,4 y 5 estrellas,625041360,""
2017-04-01,CABA,Para Hoteles,31337490,""
2017-04-01,Cuyo,1 y 2 estrellas,13733237,""
2017-04-01,Cuyo,3 estrellas/boutiques/aparts,62425808,""
2017-04-01,Cuyo,4 y 5 estrellas,177668702,""
2017-04-01,Cuyo,Para Hoteles,24256435,""
2017-04-01,Córdoba,1 y 2 estrellas,32177956,""
2017-04-01,Córdoba,3 estrellas/boutiques/aparts,39486946,""
